
Loading weights:   0%|          | 0/439 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 439/439 [00:00<00:00, 12112.62it/s]

feature_stats:   0%|          | 0/8435 [00:00<?, ?it/s]
feature_stats:   0%|          | 1/8435 [00:00<1:46:56,  1.31it/s]
feature_stats:   0%|          | 2/8435 [00:01<1:09:50,  2.01it/s]
feature_stats:   0%|          | 3/8435 [00:01<57:16,  2.45it/s]  
feature_stats:   0%|          | 4/8435 [00:01<50:55,  2.76it/s]
feature_stats:   0%|          | 5/8435 [00:01<47:53,  2.93it/s]
feature_stats:   0%|          | 6/8435 [00:02<45:48,  3.07it/s]
feature_stats:   0%|          | 7/8435 [00:02<44:28,  3.16it/s]
feature_stats:   0%|          | 8/8435 [00:02<43:44,  3.21it/s]
feature_stats:   0%|          | 9/8435 [00:03<43:41,  3.21it/s]
feature_stats:   0%|          | 10/8435 [00:03<43:05,  3.26it/s]
feature_stats:   0%|          | 11/8435 [00:03<42:37,  3.29it/s]
feature_stats:   0%|          | 12/8435 [00:04<42:49,  3.28it/s]
feature_stats:   0%|          | 13/8435 [00:04<42:28,  3.30it/s]
feature_stats:   0%|          | 14/8435 [00:04<42:27,  3.31it/s]
feature_stats:   0%|          | 15/8435 [00:04<42:14,  3.32it/s]
feature_stats:   0%|          | 16/8435 [00:05<42:15,  3.32it/s]
feature_stats:   0%|          | 17/8435 [00:05<42:04,  3.33it/s]
feature_stats:   0%|          | 18/8435 [00:05<42:04,  3.33it/s]
feature_stats:   0%|          | 19/8435 [00:06<42:46,  3.28it/s]
feature_stats:   0%|          | 20/8435 [00:06<42:50,  3.27it/s]
feature_stats:   0%|          | 21/8435 [00:06<43:01,  3.26it/s]
feature_stats:   0%|          | 22/8435 [00:07<42:54,  3.27it/s]
feature_stats:   0%|          | 23/8435 [00:07<42:54,  3.27it/s]
feature_stats:   0%|          | 24/8435 [00:07<42:54,  3.27it/s]
feature_stats:   0%|          | 25/8435 [00:08<43:14,  3.24it/s]
feature_stats:   0%|          | 26/8435 [00:08<43:45,  3.20it/s]
feature_stats:   0%|          | 27/8435 [00:08<43:27,  3.22it/s]
feature_stats:   0%|          | 28/8435 [00:08<43:22,  3.23it/s]
