
Loading weights:   0%|          | 0/439 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 439/439 [00:00<00:00, 11906.24it/s]

stage2:   0%|          | 0/4218 [00:00<?, ?it/s]
stage2:   0%|          | 1/4218 [00:02<3:21:56,  2.87s/it]
stage2:   0%|          | 2/4218 [00:03<1:53:11,  1.61s/it]
stage2:   0%|          | 3/4218 [00:04<1:24:25,  1.20s/it]
stage2:   0%|          | 4/4218 [00:05<1:11:09,  1.01s/it]
stage2:   0%|          | 5/4218 [00:05<1:04:01,  1.10it/s]
stage2:   0%|          | 6/4218 [00:06<1:00:28,  1.16it/s]
stage2:   0%|          | 7/4218 [00:07<57:50,  1.21it/s]  
stage2:   0%|          | 8/4218 [00:07<55:25,  1.27it/s]
stage2:   0%|          | 9/4218 [00:08<53:46,  1.30it/s]
stage2:   0%|          | 10/4218 [00:09<53:01,  1.32it/s]
stage2:   0%|          | 11/4218 [00:10<52:25,  1.34it/s]
stage2:   0%|          | 12/4218 [00:10<51:49,  1.35it/s]
stage2:   0%|          | 13/4218 [00:11<51:44,  1.35it/s]
stage2:   0%|          | 14/4218 [00:12<51:39,  1.36it/s]
stage2:   0%|          | 15/4218 [00:13<51:31,  1.36it/s]
stage2:   0%|          | 16/4218 [00:13<51:47,  1.35it/s]
stage2:   0%|          | 17/4218 [00:14<51:36,  1.36it/s]
stage2:   0%|          | 18/4218 [00:15<51:30,  1.36it/s]
stage2:   0%|          | 19/4218 [00:16<51:31,  1.36it/s]
stage2:   0%|          | 20/4218 [00:16<51:24,  1.36it/s]
stage2:   0%|          | 21/4218 [00:17<51:20,  1.36it/s]
stage2:   1%|          | 22/4218 [00:18<50:53,  1.37it/s]
stage2:   1%|          | 23/4218 [00:18<50:26,  1.39it/s]
stage2:   1%|          | 24/4218 [00:19<50:17,  1.39it/s]
stage2:   1%|          | 25/4218 [00:20<50:52,  1.37it/s]
stage2:   1%|          | 26/4218 [00:21<51:11,  1.36it/s]
stage2:   1%|          | 27/4218 [00:21<51:05,  1.37it/s]
stage2:   1%|          | 28/4218 [00:22<51:40,  1.35it/s]
stage2:   1%|          | 29/4218 [00:23<52:20,  1.33it/s]
stage2:   1%|          | 30/4218 [00:24<53:01,  1.32it/s]
stage2:   1%|          | 31/4218 [00:24<52:49,  1.32it/s]
stage2:   1%|          | 32/4218 [00:25<52:15,  1.34it/s]
stage2:   1%|          | 33/4218 [00:26<52:18,  1.33it/s]
stage2:   1%|          | 34/4218 [00:27<52:15,  1.33it/s]
stage2:   1%|          | 35/4218 [00:27<52:09,  1.34it/s]
stage2:   1%|          | 36/4218 [00:28<52:29,  1.33it/s]
stage2:   1%|          | 37/4218 [00:29<52:51,  1.32it/s]
stage2:   1%|          | 38/4218 [00:30<52:43,  1.32it/s]
stage2:   1%|          | 39/4218 [00:30<52:59,  1.31it/s]
stage2:   1%|          | 40/4218 [00:31<53:24,  1.30it/s]
stage2:   1%|          | 41/4218 [00:32<52:27,  1.33it/s]
stage2:   1%|          | 42/4218 [00:33<52:52,  1.32it/s]
stage2:   1%|          | 43/4218 [00:33<52:39,  1.32it/s]
stage2:   1%|          | 44/4218 [00:34<52:23,  1.33it/s]
stage2:   1%|          | 45/4218 [00:35<52:05,  1.34it/s]
stage2:   1%|          | 46/4218 [00:36<52:02,  1.34it/s]
stage2:   1%|          | 47/4218 [00:36<52:21,  1.33it/s]
stage2:   1%|          | 48/4218 [00:37<52:44,  1.32it/s]
stage2:   1%|          | 49/4218 [00:38<53:01,  1.31it/s]
stage2:   1%|          | 50/4218 [00:39<53:16,  1.30it/s]
stage2:   1%|          | 51/4218 [00:40<52:33,  1.32it/s]
stage2:   1%|          | 52/4218 [00:40<52:15,  1.33it/s]
stage2:   1%|▏         | 53/4218 [00:41<51:31,  1.35it/s]
stage2:   1%|▏         | 54/4218 [00:42<52:19,  1.33it/s]
stage2:   1%|▏         | 55/4218 [00:42<51:18,  1.35it/s]
stage2:   1%|▏         | 56/4218 [00:43<51:16,  1.35it/s]
stage2:   1%|▏         | 57/4218 [00:44<50:56,  1.36it/s]
stage2:   1%|▏         | 58/4218 [00:45<50:30,  1.37it/s]
stage2:   1%|▏         | 59/4218 [00:45<49:54,  1.39it/s]
