
Loading weights:   0%|          | 0/439 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 439/439 [00:00<00:00, 11324.59it/s]
                                                           
epoch=0 loss=0.6654 recon=0.2143 perceptual=0.4511 adversarial=0.0000 num_skipped=0.0000

epoch=1 loss=0.5907 recon=0.1824 perceptual=0.4084 adversarial=0.0000 num_skipped=0.0000
                                                           
epoch=2 loss=0.5683 recon=0.1747 perceptual=0.3936 adversarial=0.0000 num_skipped=0.0000

epoch=3 loss=0.5551 recon=0.1702 perceptual=0.3848 adversarial=0.0000 num_skipped=0.0000

epoch=4 loss=0.5458 recon=0.1670 perceptual=0.3788 adversarial=0.0000 num_skipped=0.0000

epoch=5 loss=0.5389 recon=0.1646 perceptual=0.3743 adversarial=0.0000 num_skipped=0.0000

epoch=6 loss=0.5334 recon=0.1627 perceptual=0.3707 adversarial=0.0000 num_skipped=0.0000
                                                           
epoch=7 loss=0.5287 recon=0.1609 perceptual=0.3678 adversarial=0.0000 num_skipped=0.0000

epoch=8 loss=0.5249 recon=0.1595 perceptual=0.3654 adversarial=0.0000 num_skipped=0.0000

epoch=9 loss=0.5216 recon=0.1583 perceptual=0.3633 adversarial=0.0000 num_skipped=0.0000

epoch=10 loss=0.5188 recon=0.1573 perceptual=0.3615 adversarial=0.0000 num_skipped=0.0000
                                                           
epoch=11 loss=0.5162 recon=0.1562 perceptual=0.3599 adversarial=0.0000 num_skipped=0.0000
                                                           
epoch=12 loss=0.5140 recon=0.1554 perceptual=0.3586 adversarial=0.0000 num_skipped=0.0000

epoch=13 loss=0.5119 recon=0.1546 perceptual=0.3573 adversarial=0.0000 num_skipped=0.0000

epoch=14 loss=0.5100 recon=0.1538 perceptual=0.3562 adversarial=0.0000 num_skipped=0.0000

epoch=15 loss=0.5083 recon=0.1532 perceptual=0.3552 adversarial=0.0000 num_skipped=0.0000

epoch=16 loss=0.5068 recon=0.1526 perceptual=0.3542 adversarial=0.0000 num_skipped=0.0000

epoch=17 loss=0.5053 recon=0.1519 perceptual=0.3533 adversarial=0.0000 num_skipped=0.0000

epoch=18 loss=0.5040 recon=0.1514 perceptual=0.3525 adversarial=0.0000 num_skipped=0.0000

epoch=19 loss=0.5028 recon=0.1510 perceptual=0.3518 adversarial=0.0000 num_skipped=0.0000

epoch=20 loss=0.5016 recon=0.1505 perceptual=0.3511 adversarial=0.0000 num_skipped=0.0000

epoch=21 loss=0.5006 recon=0.1501 perceptual=0.3505 adversarial=0.0000 num_skipped=0.0000
